gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_group,monthly_tenure_ratio,total_services,has_security_bundle,has_support,has_streaming_bundle,is_new_customer,is_high_value,contract_risk,avg_monthly_spend,Churn
Male,No,No,No,35,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,49.2,1701.65,25-48,1.3666666666666667,4,0,0,1,0,0,2,47.268055555555556,0
Male,No,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,75.1,1151.55,13-24,4.69375,3,0,0,0,0,1,2,71.971875,0
Male,No,Yes,Yes,13,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,40.55,590.35,13-24,2.8964285714285714,4,1,1,0,0,0,0,42.167857142857144,0
Female,No,Yes,No,26,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),73.5,1905.7,25-48,2.7222222222222223,6,0,0,1,0,1,0,70.58148148148149,0
Male,No,Yes,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.55,44.55,0-12,22.275,2,0,0,0,1,0,2,22.275,0
Male,No,No,Yes,66,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.5,5196.1,49-72,1.1865671641791045,7,0,1,1,0,1,0,77.55373134328359,0
Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.8,19.8,0-12,9.9,1,0,0,0,1,0,2,9.9,0
Female,No,Yes,No,40,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),56.6,2379.1,25-48,1.380487804878049,4,0,0,0,0,0,2,58.02682926829268,0
Female,No,Yes,No,65,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),59.8,3808.2,49-72,0.906060606060606,4,0,1,0,0,0,0,57.699999999999996,0
Female,No,No,No,60,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),80.55,4847.05,49-72,1.3204918032786885,7,0,1,1,0,1,1,79.45983606557377,0
Female,Yes,No,No,5,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.9,287.85,0-12,9.983333333333333,5,1,1,0,1,0,2,47.975,0
Female,No,Yes,Yes,5,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.4,232.55,0-12,8.233333333333333,3,0,0,0,1,0,2,38.75833333333333,0
Female,No,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.95,123.05,0-12,16.983333333333334,3,0,0,0,1,0,2,41.016666666666666,0
Male,No,Yes,Yes,30,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,67.6,2000.2,25-48,2.1806451612903226,7,1,1,0,0,0,2,64.5225806451613,0
